HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind,cluster
0.20800000000000002,0.13,0.95,0.58,0.051,0.013000000000000001,0.237,0.008,0.765,0.273,3
0.7120000000000001,0.461,0.583,0.273,0.392,1.0,0.424,0.042,0.43200000000000005,0.20600000000000002,0
0.629,0.354,0.7,0.8809999999999999,0.07200000000000001,0.45899999999999996,0.002,0.09699999999999999,0.8759999999999999,0.172,1
0.332,0.212,0.9329999999999999,0.743,0.302,0.366,0.629,0.028999999999999998,0.8320000000000001,0.044000000000000004,3
0.682,0.475,1.0,0.177,0.545,0.873,0.01,0.155,0.8320000000000001,0.08900000000000001,5
0.8009999999999999,0.455,0.8,0.601,0.16399999999999998,0.5670000000000001,0.11599999999999999,0.11599999999999999,0.669,0.504,5
0.679,0.46,0.8170000000000001,0.415,0.192,1.0,0.12300000000000001,0.05,0.43700000000000006,0.19,5
0.977,0.847,0.633,0.848,0.41,0.825,0.107,0.445,0.835,0.125,5
0.938,0.828,0.833,0.529,0.645,1.0,0.375,0.203,0.17600000000000002,0.336,4
0.643,0.44299999999999995,0.983,0.355,0.11800000000000001,0.622,0.022000000000000002,0.09699999999999999,0.39,0.19699999999999998,5
0.746,0.59,0.267,0.659,0.524,1.0,0.011000000000000001,0.124,0.731,0.09300000000000001,4
0.813,0.546,0.2,0.784,0.02,0.147,0.0,0.521,0.8320000000000001,0.084,1
0.423,0.301,0.16699999999999998,0.359,0.048,0.889,0.34,0.013000000000000001,0.535,0.035,0
0.746,0.625,0.05,0.266,0.511,0.027999999999999997,0.065,0.11800000000000001,0.8370000000000001,0.109,1
0.762,0.43200000000000005,0.517,0.537,0.27899999999999997,0.541,0.08,0.182,0.106,0.10300000000000001,5
0.9540000000000001,0.7190000000000001,0.433,0.344,0.569,1.0,0.11800000000000001,0.22899999999999998,0.106,0.152,4
0.5720000000000001,0.316,0.517,0.5710000000000001,1.0,0.966,0.444,0.039,0.6509999999999999,0.044000000000000004,0
0.268,0.37200000000000005,0.41700000000000004,0.45299999999999996,0.466,1.0,0.48700000000000004,0.016,0.7240000000000001,0.043,0
0.462,0.55,0.35,0.489,0.514,1.0,0.898,0.042,0.364,0.07200000000000001,0
0.575,0.311,0.483,0.718,0.512,0.9670000000000001,0.084,0.053,0.747,0.125,0
