HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind
0.208,0.13,0.95,0.58,0.051,0.013,0.237,0.008,0.765,0.273
0.712,0.461,0.583,0.273,0.392,1,0.424,0.042,0.432,0.206
0.629,0.354,0.7,0.881,0.072,0.459,0.002,0.097,0.876,0.172
0.332,0.212,0.933,0.743,0.302,0.366,0.629,0.029,0.832,0.044
0.682,0.475,1,0.177,0.545,0.873,0.01,0.155,0.832,0.089
0.801,0.455,0.8,0.601,0.164,0.567,0.116,0.116,0.669,0.504
0.679,0.46,0.817,0.415,0.192,1,0.123,0.05,0.437,0.19
0.977,0.847,0.633,0.848,0.41,0.825,0.107,0.445,0.835,0.125
0.938,0.828,0.833,0.529,0.645,1,0.375,0.203,0.176,0.336
0.643,0.443,0.983,0.355,0.118,0.622,0.022,0.097,0.39,0.197
0.746,0.59,0.267,0.659,0.524,1,0.011,0.124,0.731,0.093
0.813,0.546,0.2,0.784,0.02,0.147,0,0.521,0.832,0.084
0.423,0.301,0.167,0.359,0.048,0.889,0.34,0.013,0.535,0.035
0.746,0.625,0.05,0.266,0.511,0.028,0.065,0.118,0.837,0.109
0.762,0.432,0.517,0.537,0.279,0.541,0.08,0.182,0.106,0.103
0.954,0.719,0.433,0.344,0.569,1,0.118,0.229,0.106,0.152
0.572,0.316,0.517,0.571,1,0.966,0.444,0.039,0.651,0.044
0.268,0.372,0.417,0.453,0.466,1,0.487,0.016,0.724,0.043
0.462,0.55,0.35,0.489,0.514,1,0.898,0.042,0.364,0.072
0.575,0.311,0.483,0.718,0.512,0.967,0.084,0.053,0.747,0.125
0.686,0.326,0.267,0.433,0.424,0.13,0.392,0.171,0.292,0.226
0.606,0.577,0.2,0.832,0.716,1,0.312,0.079,0.915,0.069
0.659,0.432,0.083,0.672,0.525,0.8,0.521,0.058,0.711,0.083
0.789,0.787,0.1,0.6,0.128,1,0,0.487,0.597,0
0.75,0.556,0.1,0.361,0.375,1,0.216,0.166,0.346,0.109
0.103,0.297,0.817,0.501,0.356,0.872,0.741,0.005,0.848,0.064
0.069,0.163,0.833,0.425,0.256,0.467,0.947,0,0.687,0.026
0.481,0.545,0.833,0.367,0.021,0.169,0.255,0.032,0.804,0.256
0.355,0.339,0.717,0.434,0.315,1,0.685,0.016,0.661,0.053
0.3,0.284,0.917,0.673,0.278,0.68,0.893,0.008,0.716,0.044
0.95,0.884,0.6,1,0.292,0.675,0.246,0.403,0.186,0.236
0.005,0.063,0.6,0.713,0.345,0.97,0.896,0.003,0.819,0.027
0.007,0.106,0.867,0.739,0.195,0.774,0.944,0.003,0.964,0.274
0.812,0.726,0.183,0.762,0.324,0.446,0.282,0.121,0.835,1
